,Quarter,Tm,Detail,DUL,NYG
0,1.0,Giants,Jack McBride 5 yard rush (Jack McBride kick),0,7
1,1.0,Eskimos,Ernie Nevers 2 yard rush (Ernie Nevers kick),7,7
2,3.0,Giants,Hinkey Haines 25 yard rush (Jack McBride kick),7,14
3,4.0,Eskimos,Ernie Nevers 3 yard rush,13,14
