,Quarter,Tm,Detail,KAN,PIT
0,2.0,Chiefs,Jan Stenerud 32 yard field goal,3,0
1,2.0,Steelers,Lynn Swann 42 yard pass from Terry Bradshaw (Roy Gerela kick),3,7
2,3.0,Steelers,Reggie Harrison 10 yard rush (Roy Gerela kick),3,14
3,3.0,Steelers,John Stallworth 16 yard pass from Terry Bradshaw (Roy Gerela kick),3,21
4,4.0,Steelers,Mike Collier 21 yard rush (Roy Gerela kick),3,28
