,Quarter,Tm,Detail,TAM,NOR
0,1.0,Saints,Lonzell Hill 5 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,1.0,Saints,Morten Andersen 28 yard field goal,0,10
2,2.0,Buccaneers,Donald Igwebuike 25 yard field goal,3,10
3,2.0,Saints,Morten Andersen 41 yard field goal,3,13
4,2.0,Buccaneers,Donald Igwebuike 35 yard field goal,6,13
5,4.0,Buccaneers,Donald Igwebuike 35 yard field goal,9,13
