,Quarter,Time,Tm,Detail,ATL,ARI
0,1.0,10:28,Cardinals,Larry Fitzgerald 42 yard pass from Kurt Warner (Neil Rackers kick),0,7
1,2.0,10:00,Falcons,Jason Elam 30 yard field goal,3,7
2,2.0,8:58,Cardinals,Anquan Boldin 71 yard pass from Kurt Warner (Neil Rackers kick),3,14
3,2.0,2:55,Falcons,Michael Turner 7 yard rush (Jason Elam kick),10,14
4,2.0,0:23,Falcons,Justin Peelle 2 yard pass from Matt Ryan (Jason Elam kick),17,14
5,3.0,14:08,Cardinals,Antrel Rolle 27 yard defensive fumble return (Neil Rackers kick),17,21
6,3.0,2:48,Cardinals,Tim Hightower 4 yard rush (Neil Rackers kick),17,28
7,4.0,12:37,Cardinals,"Safety, Antonio Smith sacked Matt Ryan in end zone.",17,30
8,4.0,4:15,Falcons,Roddy White 5 yard pass from Matt Ryan (Jason Elam kick),24,30
