,Quarter,Tm,Detail,PHI,BOS
0,1.0,Yanks,Don Currivan 40 yard pass from Boley Dancewicz (Frank Maznicki kick),0,7
1,2.0,Eagles,Pat McHugh 69 yard punt return (Jim Kekeris kick),7,7
2,2.0,Yanks,Joe Golding 20 yard pass from Boley Dancewicz (Frank Maznicki kick),7,14
3,3.0,Eagles,Steve Van Buren 10 yard rush (Jim Kekeris kick),14,14
4,4.0,Yanks,Boley Dancewicz 6 yard rush (Frank Maznicki kick),14,21
