,Quarter,Time,Tm,Detail,NYJ,NWE
0,1.0,,Patriots,Matt Bahr 33 yard field goal,0,3
1,2.0,,Jets,Art Monk 15 yard pass from Boomer Esiason (Nick Lowery kick),7,3
2,2.0,,Patriots,Vincent Brisby 16 yard pass from Drew Bledsoe (Matt Bahr kick),7,10
3,2.0,,Jets,Nick Lowery 46 yard field goal,10,10
4,3.0,,Jets,Nick Lowery 26 yard field goal,13,10
5,3.0,,Patriots,Ricky Reynolds 11 yard interception return (Matt Bahr kick),13,17
6,4.0,,Patriots,Leroy Thompson 2 yard rush (Matt Bahr kick),13,24
