,Quarter,Tm,Detail,CHI,GNB
0,1.0,Bears,Neal Anderson 59 yard pass from Jim McMahon (Kevin Butler kick),7,0
1,1.0,Packers,Ed West 27 yard pass from Randy Wright (Al Del Greco kick),7,7
2,1.0,Packers,Brent Fullwood 2 yard rush (Al Del Greco kick),7,14
3,2.0,Bears,Kevin Butler 27 yard field goal,10,14
4,2.0,Bears,Kevin Butler 29 yard field goal,13,14
5,2.0,Packers,Phil Epps 26 yard pass from Randy Wright (Al Del Greco kick),13,21
6,4.0,Bears,Walter Payton 1 yard rush (Kevin Butler kick),20,21
7,4.0,Bears,Kevin Butler 24 yard field goal,23,21
8,4.0,Packers,Al Del Greco 47 yard field goal,23,24
9,4.0,Bears,Kevin Butler 52 yard field goal,26,24
