,Quarter,Tm,Detail,DAL,CLE
0,1.0,Browns,Lou Groza 39 yard field goal,0,3
1,1.0,Cowboys,Don Meredith 3 yard rush (Danny Villanueva kick),7,3
2,1.0,Browns,Milt Morin 15 yard pass from Frank Ryan (Lou Groza kick),7,10
3,2.0,Browns,Lou Groza 30 yard field goal,7,13
4,3.0,Browns,Lou Groza 47 yard field goal,7,16
5,3.0,Browns,Leroy Kelly 2 yard rush (Lou Groza kick),7,23
6,3.0,Browns,Paul Warfield 21 yard pass from Frank Ryan (Lou Groza kick),7,30
7,4.0,Cowboys,Don Perkins 1 yard rush (Danny Villanueva kick),14,30
8,4.0,Cowboys,Frank Clarke 1 yard pass from Don Meredith (Danny Villanueva kick),21,30
