,Quarter,Time,Tm,Detail,CLE,NOR
0,1.0,10:25,Browns,Phil Dawson 23 yard field goal,3,0
1,1.0,6:48,Browns,Peyton Hillis 4 yard rush (Phil Dawson kick),10,0
2,2.0,5:32,Saints,Garrett Hartley 32 yard field goal,10,3
3,2.0,2:18,Browns,Phil Dawson 21 yard field goal,13,3
4,2.0,1:49,Browns,David Bowens 30 yard interception return (Phil Dawson kick),20,3
5,4.0,13:29,Saints,David Thomas 11 yard pass from Drew Brees (Garrett Hartley kick),20,10
6,4.0,5:55,Browns,Phil Dawson 48 yard field goal,23,10
7,4.0,3:33,Browns,David Bowens 64 yard interception return (Phil Dawson kick),30,10
8,4.0,1:38,Saints,Marques Colston 8 yard pass from Drew Brees (Garrett Hartley kick),30,17
