,Quarter,Tm,Detail,FRN,DAY
0,2.0,Triangles,Harold Fenner 29 yard pass from Gus Redman (Russ Hathaway kick),0,7
1,3.0,Triangles,Herb Sies 45 yard field goal,0,10
2,3.0,Yellow Jackets,Tex Hamer 2 yard rush (Russ Stein kick),7,10
3,4.0,Triangles,Lou Partlow interception in end zone,7,16
4,4.0,Triangles,Russ Hathaway unknown yard field goal,7,19
