,Quarter,Tm,Detail,SFO,CHI
0,2.0,Bears,Bo Farrington 26 yard pass from Billy Wade (Roger LeClerc kick),0,7
1,2.0,Bears,Mike Ditka 47 yard pass from Billy Wade (Roger LeClerc kick),0,14
2,3.0,Bears,Mike Ditka 15 yard pass from Billy Wade (Roger LeClerc kick),0,21
3,4.0,Bears,Ed Brown 29 yard field goal,0,24
4,4.0,Bears,Johnny Morris 7 yard pass from Billy Wade (Ed Brown kick),0,31
