,Quarter,Tm,Detail,PIT,CIN
0,1.0,Steelers,Rocky Bleier 5 yard rush (Roy Gerela kick),7,0
1,1.0,Steelers,Franco Harris 15 yard rush (Roy Gerela kick),14,0
2,2.0,Bengals,Chris Bahr 33 yard field goal,14,3
3,2.0,Steelers,Bennie Cunningham 26 yard pass from Terry Bradshaw (Roy Gerela kick),21,3
4,3.0,Steelers,Lynn Swann 12 yard pass from Terry Bradshaw (Roy Gerela kick),28,3
