,Quarter,Tm,Detail,RAI,KAN
0,2.0,Chiefs,Carlos Carson 67 yard pass from Bill Kenney (Nick Lowery kick),0,7
1,2.0,Raiders,Chris Bahr 23 yard field goal,3,7
2,3.0,Raiders,Marcus Allen 3 yard rush (Chris Bahr kick),10,7
3,3.0,Chiefs,Nick Lowery 39 yard field goal,10,10
4,4.0,Chiefs,Nick Lowery 22 yard field goal,10,13
5,4.0,Chiefs,Nick Lowery 35 yard field goal,10,16
