,Quarter,Tm,Detail,CLE,HOU
0,2.0,Browns,Brian Sipe 2 yard rush (Don Cockroft kick),7,0
1,3.0,Oilers,Mike Barber 72 yard pass from Dan Pastorini (Toni Fritsch kick),7,7
2,3.0,Browns,Don Cockroft 40 yard field goal,10,7
3,4.0,Oilers,Rob Carpenter 2 yard rush (Toni Fritsch kick),10,14
