,Quarter,Tm,Detail,NOR,MIN
0,1.0,Vikings,Steve Jordan 1 yard pass from Wade Wilson (run failed),0,6
1,1.0,Vikings,Chuck Nelson 46 yard field goal,0,9
2,2.0,Vikings,Darrin Nelson 18 yard pass from Wade Wilson (Chuck Nelson kick),0,16
3,2.0,Saints,Morten Andersen 39 yard field goal,3,16
4,2.0,Vikings,Ted Brown 1 yard rush (Chuck Nelson kick),3,23
5,2.0,Vikings,Steve Jordan 14 yard pass from Wade Wilson (Chuck Nelson kick),3,30
6,4.0,Saints,Mike Jones 10 yard pass from Bobby Hebert (Morten Andersen kick),10,30
7,4.0,Vikings,Chuck Nelson 50 yard field goal,10,33
8,4.0,Saints,Rueben Mayes 1 yard rush (Morten Andersen kick),17,33
