,Quarter,Tm,Detail,NWE,TAM
0,1.0,Buccaneers,Jimmie Giles 16 yard pass from Steve DeBerg (Donald Igwebuike kick),0,7
1,1.0,Buccaneers,James Wilder 1 yard rush (Donald Igwebuike kick),0,14
2,2.0,Patriots,Tony Franklin 35 yard field goal,3,14
3,2.0,Patriots,Tony Franklin 50 yard field goal,6,14
4,2.0,Patriots,Tony Collins 11 yard pass from Craig James (Tony Franklin kick),13,14
5,3.0,Patriots,Tony Franklin 49 yard field goal,16,14
6,4.0,Patriots,Craig James 8 yard rush (Tony Franklin kick),23,14
7,4.0,Patriots,Craig James 22 yard rush (Tony Franklin kick),30,14
8,4.0,Patriots,"Safety, Blackmon tackled DeBerg in end zone",32,14
