,Quarter,Tm,Detail,SEA,RAI
0,1.0,Raiders,Steve Smith 1 yard pass from Jay Schroeder (Jeff Jaeger kick),0,7
1,2.0,Raiders,Mervyn Fernandez 3 yard pass from Jay Schroeder (Jeff Jaeger kick),0,14
2,2.0,Raiders,Ethan Horton 3 yard pass from Jay Schroeder (Jeff Jaeger kick),0,21
3,2.0,Seahawks,Paul Skansi 5 yard pass from Dave Krieg (Norm Johnson kick),7,21
4,2.0,Seahawks,Tommy Kane 31 yard pass from Dave Krieg (Norm Johnson kick),14,21
5,3.0,Seahawks,Norm Johnson 34 yard field goal,17,21
6,4.0,Raiders,Jeff Jaeger 22 yard field goal,17,24
