,Quarter,Tm,Detail,GNB,DET
0,2.0,Packers,Tiny Engebretsen 16 yard field goal,3,0
1,2.0,Lions,Dwight Sloan 15 yard rush (Chuck Hanneman kick),3,7
2,3.0,Packers,"Safety, blocked punt out of end zone",5,7
3,4.0,Packers,Clarke Hinkle 1 yard rush (Tiny Engebretsen kick),12,7
