,Quarter,Tm,Detail,IND,CIN
0,1.0,Bengals,Doug Pelfrey 35 yard field goal,0,3
1,2.0,Colts,Dean Biasucci 53 yard field goal,3,3
2,3.0,Bengals,Doug Pelfrey 23 yard field goal,3,6
3,3.0,Colts,Dean Biasucci 31 yard field goal,6,6
4,4.0,Colts,Dean Biasucci 42 yard field goal,9,6
