,Quarter,Tm,Detail,HOU,CIN
0,1.0,Oilers,Skip Butler 39 yard field goal,3,0
1,2.0,Oilers,Billy Johnson 34 yard pass from John Hadl (Skip Butler kick),10,0
2,2.0,Oilers,Skip Butler 29 yard field goal,13,0
3,2.0,Bengals,Chris Bahr 50 yard field goal,13,3
4,3.0,Bengals,Bob Trumpy 48 yard pass from Ken Anderson (Chris Bahr kick),13,10
5,3.0,Oilers,Fred Willis 1 yard rush (Skip Butler kick),20,10
6,3.0,Bengals,Bob Trumpy 3 yard pass from Ken Anderson (Chris Bahr kick),20,17
7,4.0,Bengals,Ken Anderson 1 yard rush (Chris Bahr kick),20,24
8,4.0,Oilers,Ronnie Coleman 13 yard pass from John Hadl (Skip Butler kick),27,24
9,4.0,Bengals,Isaac Curtis 47 yard pass from Ken Anderson (Chris Bahr kick),27,31
