,Quarter,Time,Tm,Detail,PHI,ATL
0,1.0,,Eagles,Gary Anderson 28 yard field goal,3,0
1,2.0,,Eagles,Ricky Watters 2 yard rush (Gary Anderson kick),10,0
2,2.0,,Eagles,Gary Anderson 33 yard field goal,13,0
3,2.0,,Falcons,Bert Emanuel 23 yard pass from Jeff George (Morten Andersen kick),13,7
4,2.0,0:09,Falcons,Morten Andersen 43 yard field goal,13,10
5,3.0,0:09,Eagles,Ricky Watters 56 yard rush (Gary Anderson kick),20,10
6,3.0,0:09,Eagles,Gary Anderson 39 yard field goal,23,10
7,4.0,0:09,Eagles,Gary Anderson 25 yard field goal,26,10
8,4.0,0:09,Falcons,Terance Mathis 12 yard pass from Bobby Hebert (Terance Mathis pass from Bobby Hebert),26,18
9,4.0,3:55,Eagles,Derrick Witherspoon 97 yard kickoff return (Gary Anderson kick),33,18
