,Quarter,Time,Tm,Detail,SEA,JAX
0,1.0,2:13,Jaguars,Mark Brunell 2 yard rush (Mike Hollis kick),0,7
1,2.0,11:24,Seahawks,Ricky Watters 1 yard rush (Rian Lindell kick),7,7
2,2.0,3:00,Jaguars,Fred Taylor 10 yard rush (Mike Hollis kick),7,14
3,2.0,1:16,Jaguars,Keenan McCardell 67 yard pass from Mark Brunell (Mike Hollis kick),7,21
4,2.0,0:13,Seahawks,Sean Dawkins 15 yard pass from Jon Kitna (Rian Lindell kick),14,21
5,3.0,4:17,Seahawks,Derrick Mayes 8 yard pass from Jon Kitna (Rian Lindell kick),21,21
6,4.0,2:01,Seahawks,Ricky Watters 4 yard pass from Jon Kitna (Rian Lindell kick),28,21
