,Quarter,Time,Tm,Detail,SEA,NOR
0,2,,Seahawks,Todd Peterson 36 yard field goal,3,0
1,2,,Seahawks,Darryl Williams 44 yard interception return (Todd Peterson kick),10,0
2,2,,Saints,Ray Zellars 1 yard rush (Doug Brien kick),10,7
3,4,,Saints,Ray Zellars 2 yard rush (Doug Brien kick),10,14
4,4,,Saints,Doug Brien 19 yard field goal,10,17
5,4,,Seahawks,James McKnight 34 yard pass from Warren Moon (Todd Peterson kick),17,17
6,OT,0:19,Saints,Doug Brien 38 yard field goal,17,20
