,Quarter,Tm,Detail,OAK,DEN
0,1.0,Raiders,Cliff Branch 21 yard pass from Ken Stabler (Errol Mann kick),7,0
1,2.0,Raiders,Errol Mann 42 yard field goal,10,0
2,2.0,Raiders,Clarence Davis 8 yard rush (Errol Mann kick),17,0
3,3.0,Raiders,Mark van Eeghen 1 yard rush (Errol Mann kick),24,0
4,4.0,Broncos,Jack Dolbin 11 yard pass from Craig Morton (Jim Turner kick),24,7
5,4.0,Broncos,Otis Armstrong 7 yard rush (Jim Turner kick),24,14
