,Quarter,Time,Tm,Detail,ATL,NOR
0,1.0,7:31,Saints,Wil Lutz 40 yard field goal,0,3
1,2.0,1:19,Saints,Wil Lutz 29 yard field goal,0,6
2,2.0,0:14,Saints,Ted Ginn Jr. 54 yard pass from Drew Brees (Wil Lutz kick),0,13
3,3.0,9:34,Falcons,Matt Bryant 37 yard field goal,3,13
4,3.0,2:52,Saints,Mark Ingram 26 yard rush (Wil Lutz kick),3,20
5,4.0,10:18,Falcons,Matt Bryant 48 yard field goal,6,20
6,4.0,3:38,Saints,Wil Lutz 45 yard field goal,6,23
7,4.0,2:40,Falcons,Tevin Coleman 14 yard pass from Matt Ryan (Matt Bryant kick),13,23
