,Quarter,Time,Tm,Detail,WAS,GNB
0,1.0,8:50,Redskins,James Tuthill 25 yard field goal,3,0
1,1.0,4:21,Packers,Ahman Green 24 yard rush (Ryan Longwell kick),3,7
2,2.0,7:57,Redskins,James Tuthill 53 yard field goal,6,7
3,2.0,5:07,Packers,Ahman Green 2 yard rush (Ryan Longwell kick),6,14
4,2.0,1:23,Packers,Ryan Longwell 36 yard field goal,6,17
5,3.0,5:55,Redskins,James Tuthill 31 yard field goal,9,17
6,4.0,9:21,Packers,Ryan Longwell 41 yard field goal,9,20
7,4.0,7:48,Packers,Ahman Green 8 yard rush (Ryan Longwell kick),9,27
8,4.0,0:22,Packers,Ryan Longwell 28 yard field goal,9,30
