,Quarter,Time,Tm,Detail,NWE,MIA
0,1.0,,Dolphins,Olindo Mare 50 yard field goal,0,3
1,2.0,,Dolphins,Olindo Mare 41 yard field goal,0,6
2,3.0,,Patriots,Marrio Grier 2 yard rush (Adam Vinatieri kick),7,6
3,4.0,,Patriots,Dave Meggett 5 yard rush (Adam Vinatieri kick),14,6
4,4.0,,Dolphins,Lamar Thomas 8 yard pass from Dan Marino (pass failed),14,12
