,Quarter,Tm,Detail,NOR,NYJ
0,1.0,Jets,Bobby Howfield 30 yard field goal,0,3
1,1.0,Saints,Happy Feller 31 yard field goal,3,3
2,2.0,Saints,Bob Gresham 3 yard rush (Happy Feller kick),10,3
3,2.0,Jets,Bobby Howfield 39 yard field goal,10,6
4,3.0,Jets,Bobby Howfield 31 yard field goal,10,9
5,4.0,Saints,Bill Butler 8 yard pass from Archie Manning (Happy Feller kick),17,9
6,4.0,Jets,Bobby Howfield 23 yard field goal,17,12
7,4.0,Jets,Bobby Howfield 33 yard field goal,17,15
8,4.0,Jets,Bobby Howfield 42 yard field goal,17,18
