,Quarter,Tm,Detail,NYG,CLE
0,1.0,Giants,Dick James 1 yard rush,6,0
1,2.0,Browns,Leroy Kelly 68 yard punt return (Lou Groza kick),6,7
2,3.0,Browns,Paul Warfield 11 yard pass from Frank Ryan (Lou Groza kick),6,14
3,3.0,Giants,Y.A. Tittle 7 yard rush (Don Chandler kick),13,14
4,4.0,Browns,Paul Wiggin 2 yard defensive fumble return (Lou Groza kick),13,21
5,4.0,Browns,Gary Collins 9 yard pass from Frank Ryan (Lou Groza kick),13,28
6,4.0,Browns,Charlie Scales 23 yard special teams fumble return (Lou Groza kick),13,35
7,4.0,Giants,Ernie Wheelwright 20 yard pass from Gary Wood (Don Chandler kick),20,35
8,4.0,Browns,Johnny Brewer 11 yard pass from Jim Ninowski (Lou Groza kick),20,42
