,Quarter,Tm,Detail,WAS,DET
0,1.0,Lions,Ted Pavelec 25 yard field goal,0,3
1,3.0,Redskins,Andy Farkas 11 yard pass from Sammy Baugh,6,3
2,3.0,Redskins,"Safety, punt blocked out of end zone by Wilkin",8,3
3,4.0,Redskins,Ed Cifers 13 yard pass from Sammy Baugh (Dick Poillon kick),15,3
