,Quarter,Time,Tm,Detail,NWE,CLE
0,1.0,4:36,Browns,Phil Dawson 39 yard field goal,0,3
1,1.0,1:06,Patriots,Adam Vinatieri 38 yard field goal,3,3
2,2.0,4:09,Browns,Aaron Shea 9 yard pass from Doug Pederson (Phil Dawson kick),3,10
3,2.0,0:30,Browns,Phil Dawson 43 yard field goal,3,13
4,3.0,0:20,Browns,Phil Dawson 35 yard field goal,3,16
5,4.0,12:24,Browns,Phil Dawson 35 yard field goal,3,19
6,4.0,5:48,Patriots,Rod Rutledge 2 yard pass from Drew Bledsoe (Kevin Faulk run),11,19
