,Quarter,Tm,Detail,BAL,NYJ
0,1.0,Colts,Jim O'Brien 28 yard field goal,3,0
1,1.0,Colts,Jerry Logan 31 yard interception return (Jim O'Brien kick),10,0
2,1.0,Colts,Tom Mitchell 11 yard pass from Johnny Unitas (Jim O'Brien kick),17,0
3,1.0,Jets,Jim Turner 41 yard field goal,17,3
4,2.0,Colts,Jim O'Brien 18 yard field goal,20,3
5,2.0,Jets,"Safety, Elliott tackled Maitland in end zone",20,5
6,3.0,Colts,Bob Grant 27 yard interception return,26,5
7,3.0,Jets,Eddie Bell 17 yard pass from Joe Namath (Jim Turner kick),26,12
8,3.0,Jets,Emerson Boozer 1 yard rush (Jim Turner kick),26,19
9,4.0,Colts,Jim O'Brien 28 yard field goal,29,19
10,4.0,Jets,Jim Turner 42 yard field goal,29,22
