,Quarter,Tm,Detail,PIT,BOS
0,1.0,Yanks/Tigers,Johnny Martin 5 yard rush (Augie Lio kick),0,7
1,2.0,Yanks/Tigers,Frank Martin 53 yard pass from George Cafego (Augie Lio kick),0,14
2,3.0,Yanks/Tigers,Pug Manders 1 yard rush (Augie Lio kick),0,21
3,4.0,Steelers,John Lucente 60 yard pass from Toimi Jarvi (John Naioti kick),7,21
4,4.0,Yanks/Tigers,Pug Manders 2 yard rush (Augie Lio kick),7,28
