,Quarter,Tm,Detail,CRD,GNB
0,2,Packers,Verne Lewellen 10 yard rush (Red Dunn kick),0,7
1,3,Packers,Lavvie Dilweg 50 yard pass from Arnie Herber (Bo Molenda kick),0,14
