,Quarter,Tm,Detail,SFO,NYJ
0,1.0,49ers,Jerry Rice 5 yard pass from Steve Young (Mike Cofer kick),7,0
1,2.0,49ers,Steve Young 10 yard rush (Mike Cofer kick),14,0
2,2.0,49ers,Mike Cofer 45 yard field goal,17,0
3,2.0,49ers,Jamie Williams 8 yard pass from Steve Young (Mike Cofer kick),24,0
4,3.0,49ers,Ricky Watters 1 yard rush (Mike Cofer kick),31,0
5,4.0,Jets,Rob Carpenter 7 yard pass from Ken O'Brien (Jason Staurovsky kick),31,7
6,4.0,Jets,Terance Mathis 55 yard pass from Ken O'Brien (Jason Staurovsky kick),31,14
