,Quarter,Tm,Detail,OAK,SDG
0,1,Chargers,Rolf Benirschke 52 yard field goal,0,3
1,1,Raiders,Chris Bahr 35 yard field goal,3,3
2,2,Chargers,John Jefferson 4 yard pass from Dan Fouts (Rolf Benirschke kick),3,10
3,2,Raiders,Cliff Branch 48 yard pass from Dan Pastorini (Chris Bahr kick),10,10
4,3,Raiders,Willie Jones 11 yard defensive fumble return (Chris Bahr kick),17,10
5,4,Chargers,Kellen Winslow 25 yard pass from Dan Fouts (Rolf Benirschke kick),17,17
6,4,Chargers,Clarence Williams 4 yard rush (Rolf Benirschke kick),17,24
7,4,Raiders,Raymond Chester 18 yard pass from Jim Plunkett (Chris Bahr kick),24,24
8,OT,Chargers,John Jefferson 24 yard pass from Dan Fouts,24,30
