,Quarter,Tm,Detail,SDG,DEN
0,1.0,Chargers,Chris Bahr 39 yard field goal,3,0
1,2.0,Broncos,David Treadwell 46 yard field goal,3,3
2,2.0,Broncos,David Treadwell 18 yard field goal,3,6
3,3.0,Chargers,Marion Butts 2 yard rush (Chris Bahr kick),10,6
4,4.0,Broncos,David Treadwell 27 yard field goal,10,9
5,4.0,Broncos,Bobby Humphrey 17 yard rush (David Treadwell kick),10,16
