,Quarter,Tm,Detail,RAI,KAN
0,1.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),7,0
1,2.0,Raiders,Steve Smith 1 yard rush (Chris Bahr kick),14,0
2,2.0,Chiefs,Paul Palmer 48 yard pass from Steve DeBerg (Nick Lowery kick),14,7
3,4.0,Chiefs,Nick Lowery 43 yard field goal,14,10
4,4.0,Raiders,Trey Junkin 4 yard pass from Steve Beuerlein,20,10
5,4.0,Raiders,Bo Jackson 1 yard rush (Chris Bahr kick),27,10
6,4.0,Chiefs,Stephone Paige 25 yard pass from Steve DeBerg (Nick Lowery kick),27,17
