,Quarter,Time,Tm,Detail,WAS,ATL
0,2,12:12,Redskins,Derek Carrier 7 yard pass from Kirk Cousins (Dustin Hopkins kick),7,0
1,2,7:07,Falcons,Matt Bryant 42 yard field goal,7,3
2,3,1:54,Falcons,Matt Bryant 28 yard field goal,7,6
3,4,9:14,Falcons,Julio Jones offensive fumble recovery in end zone (pass failed),7,12
4,4,7:59,Redskins,Matt Jones 2 yard rush (pass failed),13,12
5,4,2:38,Redskins,Dustin Hopkins 28 yard field goal,16,12
6,4,0:24,Falcons,Devonta Freeman 6 yard rush (Matt Bryant kick),16,19
7,4,0:00,Redskins,Dustin Hopkins 52 yard field goal,19,19
8,OT,12:15,Falcons,Robert Alford 59 yard interception return,19,25
