,Quarter,Tm,Detail,RAI,CHI
0,1.0,Bears,Walter Payton 18 yard rush (Bob Thomas kick),0,7
1,2.0,Bears,Walter Payton 8 yard rush (Bob Thomas kick),0,14
2,2.0,Raiders,Chris Bahr 44 yard field goal,3,14
3,3.0,Raiders,Chris Bahr 40 yard field goal,6,14
4,4.0,Bears,Bob Thomas 29 yard field goal,6,17
