,Quarter,Tm,Detail,PHI,GNB
0,1,Eagles,Alvin Ross 5 yard rush (Dave Jacobs kick),7,0
1,2,Packers,Max Zendejas 42 yard field goal,7,3
2,3,Packers,Lee Morris 46 yard pass from Alan Risher (Max Zendejas kick),7,10
3,4,Eagles,Dave Jacobs 44 yard field goal,10,10
4,OT,Packers,Jimmy Hargrove 5 yard rush,10,16
