,Quarter,Time,Tm,Detail,ATL,STL
0,1.0,,Falcons,Morten Andersen 42 yard field goal,3,0
1,3.0,15:00,Rams,Tony Horne 102 yard kickoff return (Jeff Wilkins kick),3,7
2,3.0,15:00,Falcons,Morten Andersen 32 yard field goal,6,7
3,3.0,15:00,Falcons,Terance Mathis 27 yard pass from Steve DeBerg (Jamal Anderson run),14,7
4,4.0,15:00,Rams,Jeff Wilkins 39 yard field goal,14,10
5,4.0,15:00,Falcons,Jamal Anderson 27 yard rush (Morten Andersen kick),21,10
