,Quarter,Tm,Detail,SFO,WAS
0,1.0,49ers,John Brodie 14 yard rush (Tommy Davis kick),7,0
1,2.0,49ers,Sonny Randle 10 yard pass from John Brodie (Tommy Davis kick),14,0
2,2.0,Redskins,Gene Mingo 19 yard field goal,14,3
3,3.0,Redskins,Jerry Smith 2 yard pass from Sonny Jurgensen (Gene Mingo kick),14,10
4,3.0,Redskins,Gerry Allen 7 yard rush (Gene Mingo kick),14,17
5,3.0,49ers,Ken Willard 2 yard rush (Tommy Davis kick),21,17
6,4.0,Redskins,Gerry Allen 16 yard pass from Sonny Jurgensen (Gene Mingo kick),21,24
7,4.0,49ers,Ken Willard 1 yard rush (Tommy Davis kick),28,24
8,4.0,Redskins,Jerry Smith 15 yard pass from Sonny Jurgensen (Gene Mingo kick),28,31
