,Quarter,Tm,Detail,PIT,CRD
0,1.0,Steelers,Jack McClairen 48 yard pass from Earl Morrall (Dean Derby kick),7,0
1,1.0,Steelers,Fran Rogel 1 yard rush (Dean Derby kick),14,0
2,3.0,Cardinals,"Safety, Beatty snap to Girard went out of end zone",14,2
3,3.0,Steelers,Dean Derby 34 yard field goal,17,2
4,4.0,Steelers,Dick Young 2 yard rush (Dean Derby kick),24,2
5,4.0,Steelers,Dean Derby 27 yard field goal,27,2
