,Quarter,Tm,Detail,CLE,DEN
0,1,Broncos,Fred Steinfort 45 yard field goal,0,3
1,2,Browns,Cleo Miller 1 yard rush (Matt Bahr kick),7,3
2,2,Broncos,Steve Watson 5 yard pass from Craig Morton (Fred Steinfort kick),7,10
3,3,Broncos,Fred Steinfort 43 yard field goal,7,13
4,3,Browns,Dave Logan 23 yard pass from Brian Sipe (Matt Bahr kick),14,13
5,4,Broncos,Dave Preston 4 yard rush (Fred Steinfort kick),14,20
6,4,Browns,Matt Bahr 27 yard field goal,17,20
7,4,Browns,Matt Bahr 32 yard field goal,20,20
8,OT,Broncos,Fred Steinfort 30 yard field goal,20,23
