,Quarter,Time,Tm,Detail,DEN,NWE
0,1.0,,Broncos,Terrell Davis 15 yard pass from John Elway (Jason Elam kick),7,0
1,1.0,,Broncos,Terrell Davis 10 yard rush (Jason Elam kick),14,0
2,2.0,,Broncos,Terrell Davis 2 yard rush (Jason Elam kick),21,0
3,2.0,,Broncos,Jason Elam 28 yard field goal,24,0
4,3.0,,Patriots,Curtis Martin 7 yard rush (Keith Byars pass from Drew Bledsoe),24,8
5,3.0,,Broncos,John Elway 1 yard rush (Jason Elam kick),31,8
6,4.0,,Broncos,Jason Elam 47 yard field goal,34,8
