,Quarter,Tm,Detail,CHI,BAL
0,1.0,Bears,Billy Stone 22 yard pass from Zeke Bratkowski (Bill George kick),7,0
1,2.0,Colts,Royce Womble 27 yard pass from Gary Kerkorian,7,6
2,3.0,Bears,Chick Jagade 10 yard rush (Bill George kick),14,6
3,3.0,Bears,Zeke Bratkowski 1 yard rush (Bill George kick),21,6
4,3.0,Colts,Buddy Young 57 yard rush (Gary Kerkorian kick),21,13
5,4.0,Bears,Billy Stone 5 yard rush (Bill George kick),28,13
