,Quarter,Tm,Detail,BAL,NYG
0,1.0,Colts,Roosevelt Leaks 3 yard rush (Steve Mike-Mayer kick),7,0
1,1.0,Colts,Steve Mike-Mayer 29 yard field goal,10,0
2,2.0,Colts,Mike Siani 10 yard pass from Greg Landry (Steve Mike-Mayer kick),17,0
3,3.0,Giants,Earnest Gray 4 yard pass from Phil Simms (Joe Danelo kick),17,7
4,3.0,Colts,Don McCauley 1 yard rush (Steve Mike-Mayer kick),24,7
5,4.0,Colts,Don McCauley 1 yard rush (Steve Mike-Mayer kick),31,7
