,Quarter,Tm,Detail,DAL,MIN
0,1,Vikings,Chuck Foreman 18 yard pass from Fran Tarkenton (Fred Cox kick),0,7
1,2,Cowboys,Efren Herrera 40 yard field goal,3,7
2,4,Cowboys,Preston Pearson 7 yard pass from Roger Staubach (Efren Herrera kick),10,7
3,4,Vikings,Fred Cox 35 yard field goal,10,10
4,OT,Cowboys,Roger Staubach 4 yard rush,16,10
