,Quarter,Tm,Detail,RAM,WAS
0,1.0,Redskins,Jess Atkinson 25 yard field goal,0,3
1,1.0,Redskins,Kelvin Bryant 14 yard pass from Jay Schroeder (Jess Atkinson kick),0,10
2,2.0,Redskins,Jess Atkinson 20 yard field goal,0,13
3,3.0,Redskins,Jess Atkinson 38 yard field goal,0,16
4,4.0,Rams,Kevin House 12 yard pass from Jim Everett (Mike Lansford kick),7,16
5,4.0,Redskins,Jess Atkinson 19 yard field goal,7,19
