,Quarter,Time,Tm,Detail,OAK,HOU
0,1.0,8:06,Texans,Kris Brown 26 yard field goal,0,3
1,1.0,2:33,Raiders,Sebastian Janikowski 46 yard field goal,3,3
2,2.0,14:57,Texans,Kris Brown 34 yard field goal,3,6
3,2.0,10:39,Texans,Steve Slaton 32 yard rush (Kris Brown kick),3,13
4,2.0,8:13,Texans,Steve Slaton 18 yard pass from Matt Schaub (Kris Brown kick),3,20
5,2.0,2:05,Raiders,Sebastian Janikowski 33 yard field goal,6,20
6,3.0,8:53,Texans,"Safety, Brian Cushing tackled Justin Fargas in end zone.",6,22
7,3.0,8:41,Texans,Jacoby Jones 95 yard kickoff return (Kris Brown kick),6,29
