,Quarter,Tm,Detail,MIA,NYJ
0,2.0,Jets,Pat Leahy 22 yard field goal,0,3
1,2.0,Jets,Pat Leahy 18 yard field goal,0,6
2,3.0,Jets,Kurt Sohn 15 yard pass from Ken O'Brien (Pat Leahy kick),0,13
3,3.0,Dolphins,Ron Davenport 3 yard rush (Fuad Reveiz kick),7,13
4,3.0,Jets,Pat Leahy 18 yard field goal,7,16
5,4.0,Jets,Tony Paige 1 yard rush (Pat Leahy kick),7,23
