,Quarter,Tm,Detail,GNB,CHI
0,1.0,Packers,Harry O'Boyle 37 yard field goal,3,0
1,2.0,Packers,Verne Lewellen 1 yard rush (Harry O'Boyle kick),10,0
2,4.0,Bears,Milt Romney 1 yard rush,10,6
3,4.0,Packers,Bruce Jones interception in end zone,16,6
