,Quarter,Tm,Detail,CLE,HOU
0,1.0,Browns,Matt Bahr 32 yard field goal,3,0
1,1.0,Browns,Eric Metcalf 68 yard pass from Bernie Kosar (Matt Bahr kick),10,0
2,2.0,Browns,Webster Slaughter 40 yard pass from Bernie Kosar (Matt Bahr kick),17,0
3,2.0,Oilers,Tony Zendejas 30 yard field goal,17,3
4,3.0,Oilers,Drew Hill 9 yard pass from Warren Moon (Tony Zendejas kick),17,10
5,4.0,Oilers,Tony Zendejas 37 yard field goal,17,13
6,4.0,Oilers,Drew Hill 27 yard pass from Warren Moon (Tony Zendejas kick),17,20
7,4.0,Browns,Kevin Mack 4 yard rush (Matt Bahr kick),24,20
