,Quarter,Tm,Detail,BUF,MIN
0,2.0,Vikings,Dave Osborn 1 yard rush (Fred Cox kick),0,7
1,2.0,Vikings,Fred Cox 40 yard field goal,0,10
2,2.0,Vikings,"Safety, Page tackled Shaw in end zone",0,12
3,4.0,Vikings,Norm Snead 1 yard rush (Fred Cox kick),0,19
