,Quarter,Tm,Detail,NYG,PHO
0,1.0,Cardinals,Neil Lomax 1 yard rush (Al Del Greco kick),0,7
1,1.0,Cardinals,Robert Awalt 7 yard pass from Neil Lomax (Al Del Greco kick),0,14
2,2.0,Giants,Maurice Carthon 8 yard pass from Phil Simms (Paul McFadden kick),7,14
3,4.0,Cardinals,Roy Green 44 yard pass from Neil Lomax (Al Del Greco kick),7,21
4,4.0,Giants,Ottis Anderson 1 yard rush (Paul McFadden kick),14,21
5,4.0,Cardinals,Al Del Greco 28 yard field goal,14,24
6,4.0,Giants,Paul McFadden 40 yard field goal,17,24
