,Quarter,Tm,Detail,MIN,CHI
0,1.0,Bears,Laurie Walquist 22 yard rush (Paddy Driscoll kick),0,7
1,1.0,Bears,Paddy Driscoll 3 yard rush,0,13
2,3.0,Bears,Buck White unknown yard rush (Joey Sternaman kick),0,20
3,4.0,Bears,Gardie Grange 16 yard pass from Red Grange (Red Grange pass from Joey Sternaman),0,27
