,Quarter,Tm,Detail,PHI,WAS
0,1.0,Eagles,Tom Dempsey 44 yard field goal,3,0
1,1.0,Eagles,Charle Young 34 yard pass from Roman Gabriel (Tom Dempsey kick),10,0
2,2.0,Redskins,Larry Brown 14 yard pass from Billy Kilmer (Curt Knight kick),10,7
3,2.0,Redskins,Curt Knight 15 yard field goal,10,10
4,2.0,Redskins,Roy Jefferson 32 yard pass from Billy Kilmer (Curt Knight kick),10,17
5,2.0,Redskins,Larry Brown 27 yard pass from Billy Kilmer (Curt Knight kick),10,24
6,2.0,Eagles,Tom Dempsey 15 yard field goal,13,24
7,3.0,Redskins,Larry Brown 64 yard pass from Billy Kilmer (Curt Knight kick),13,31
8,3.0,Eagles,Tom Sullivan 1 yard rush (Tom Dempsey kick),20,31
9,4.0,Redskins,Larry Brown 8 yard rush (Curt Knight kick),20,38
