,Quarter,Tm,Detail,RAM,NOR
0,1.0,Saints,Morten Andersen 47 yard field goal,0,3
1,1.0,Saints,Morten Andersen 42 yard field goal,0,6
2,2.0,Saints,Morten Andersen 35 yard field goal,0,9
3,2.0,Rams,Mike Lansford 41 yard field goal,3,9
4,4.0,Saints,Morten Andersen 27 yard field goal,3,12
5,4.0,Saints,Eric Martin 43 yard pass from Bobby Hebert (Morten Andersen kick),3,19
6,4.0,Saints,Jack Del Rio 22 yard defensive fumble return (Morten Andersen kick),3,26
7,4.0,Saints,Morten Andersen 35 yard field goal,3,29
