,Quarter,Tm,Detail,OAK,MIA
0,2.0,Dolphins,Paul Warfield 49 yard pass from Bob Griese (Garo Yepremian kick),0,7
1,2.0,Raiders,George Blanda 12 yard field goal,3,7
2,2.0,Dolphins,Garo Yepremian 47 yard field goal,3,10
3,3.0,Raiders,George Blanda 17 yard field goal,6,10
4,4.0,Dolphins,Paul Warfield 17 yard pass from Bob Griese (Garo Yepremian kick),6,17
5,4.0,Dolphins,Garo Yepremian 40 yard field goal,6,20
6,4.0,Raiders,Warren Wells 36 yard pass from Daryle Lamonica (George Blanda kick),13,20
