,Quarter,Tm,Detail,NYJ,DEN
0,1.0,Broncos,Otis Armstrong 15 yard rush,0,6
1,1.0,Jets,Pat Leahy 25 yard field goal,3,6
2,2.0,Broncos,Riley Odoms 15 yard rush (Jim Turner kick),3,13
3,2.0,Broncos,Jim Turner 20 yard field goal,3,16
4,2.0,Broncos,Haven Moses 14 yard pass from Steve Ramsey (Jim Turner kick),3,23
5,2.0,Broncos,Jon Keyworth 1 yard rush,3,29
6,3.0,Broncos,Jim Turner 30 yard field goal,3,32
7,3.0,Broncos,John Rowser 41 yard interception return (Jim Turner kick),3,39
8,4.0,Broncos,Jim Kiick 1 yard rush (Jim Turner kick),3,46
