,Quarter,Time,Tm,Detail,STL,ATL
0,1.0,9:20,Rams,Isaac Bruce 4 yard pass from Kurt Warner (Jeff Wilkins kick),7,0
1,1.0,2:03,Rams,Marshall Faulk 6 yard rush (Jeff Wilkins kick),14,0
2,2.0,11:19,Falcons,Bob Christian 13 yard pass from Chris Chandler (Morten Andersen kick),14,7
3,2.0,10:59,Rams,Tony Horne 101 yard kickoff return (Jeff Wilkins kick),21,7
4,2.0,1:42,Rams,Grant Wistrom 91 yard interception return (Jeff Wilkins kick),28,7
5,2.0,0:32,Falcons,Morten Andersen 20 yard field goal,28,10
6,3.0,12:42,Rams,Jeff Wilkins 22 yard field goal,31,10
7,3.0,7:26,Rams,Jeff Wilkins 49 yard field goal,34,10
8,4.0,10:26,Rams,Robert Holcombe 1 yard rush (Jeff Wilkins kick),41,10
9,4.0,4:25,Falcons,Morten Andersen 25 yard field goal,41,13
