,Quarter,Tm,Detail,SEA,SDG
0,1.0,Chargers,Rolf Benirschke 37 yard field goal,0,3
1,1.0,Seahawks,David Sims 2 yard pass from Jim Zorn (Efren Herrera kick),7,3
2,2.0,Seahawks,Efren Herrera 48 yard field goal,10,3
3,2.0,Chargers,Rolf Benirschke 26 yard field goal,10,6
4,2.0,Chargers,John Jefferson 31 yard pass from Dan Fouts (Rolf Benirschke kick),10,13
5,2.0,Chargers,John Jefferson 6 yard pass from Dan Fouts (Rolf Benirschke kick),10,20
6,4.0,Chargers,Larry Burton 55 yard pass from Dan Fouts (Rolf Benirschke kick),10,27
7,4.0,Chargers,Hank Bauer 1 yard rush (Rolf Benirschke kick),10,34
8,4.0,Chargers,Rolf Benirschke 27 yard field goal,10,37
