,Quarter,Tm,Detail,KAN,SEA
0,1.0,Seahawks,Steve Largent 57 yard pass from Jim Zorn (Efren Herrera kick),0,7
1,1.0,Chiefs,Jan Stenerud 33 yard field goal,3,7
2,2.0,Seahawks,Al Hunter 1 yard rush,3,13
3,2.0,Seahawks,Al Hunter 55 yard rush (Efren Herrera kick),3,20
4,2.0,Chiefs,Arnold Morgado 1 yard rush (Jan Stenerud kick),10,20
5,3.0,Chiefs,Tony Reed 62 yard rush (Jan Stenerud kick),17,20
6,4.0,Seahawks,Efren Herrera 31 yard field goal,17,23
7,4.0,Chiefs,"Safety, Beckman ran Weaver out of end zone",19,23
